,Unnamed: 0,Category,Strains,taxid
197,7,_water_ & Miscellaneous,Bordetella avium,521
198,7,_water_ & Miscellaneous,Salmonella sp.,599
199,7,_water_ & Miscellaneous,Vibrio alginolyticus,663
200,7,_water_ & Miscellaneous,Pseudomonas syringae group genomosp. 3,251701
201,7,_water_ & Miscellaneous,Cronobacter sp.,1888169
202,7,_water_ & Miscellaneous,Synechococcus sp. CB0101,232348
203,7,_water_ & Miscellaneous,Pectobacterium carotovorum,554
204,7,_water_ & Miscellaneous,Vibrio harveyi,669
205,7,_water_ & Miscellaneous,Vibrio cholerae,666
206,7,_water_ & Miscellaneous,Pseudomonas putida,303
207,7,_water_ & Miscellaneous,Thermus thermophilus,274
208,7,_water_ & Miscellaneous,Yersinia enterocolitica,630
209,7,_water_ & Miscellaneous,Vibrio natriegens,691
210,7,_water_ & Miscellaneous,Xanthomonas campestris,339
211,7,_water_ & Miscellaneous,Pseudoalteromonas sp.,53249
212,7,_water_ & Miscellaneous,Pantoea deleyi,470932
213,7,_water_ & Miscellaneous,Synechococcus sp. WH 8109,166314
214,7,_water_ & Miscellaneous,Escherichia sp.,1884818
215,7,_water_ & Miscellaneous,Microcystis aeruginosa,1126
216,7,_water_ & Miscellaneous,Staphylococcus aureus,1280
217,7,_water_ & Miscellaneous,Mycolicibacterium smegmatis,1772
218,7,_water_ & Miscellaneous,Ralstonia solanacearum,305
219,7,_water_ & Miscellaneous,Lactococcus garvieae,1363
220,7,_water_ & Miscellaneous,Caulobacter vibrioides,155892
221,7,_water_ & Miscellaneous,Klebsiella pneumoniae,573
222,7,_water_ & Miscellaneous,Synechococcus sp.,1131
223,7,_water_ & Miscellaneous,Vibrio parahaemolyticus,670
224,7,_water_ & Miscellaneous,Klebsiella variicola,244366
225,7,_water_ & Miscellaneous,Aeromonas sp.,647
226,7,_water_ & Miscellaneous,Erwinia amylovora,552
227,7,_water_ & Miscellaneous,Acinetobacter baumannii,470
228,7,_water_ & Miscellaneous,Vibrio metschnikovii,28172
229,7,_water_ & Miscellaneous,Enterobacter cloacae,550
230,7,_water_ & Miscellaneous,Cronobacter sakazakii,28141
231,7,_water_ & Miscellaneous,Pseudomonas aeruginosa,287
232,7,_water_ & Miscellaneous,Stenotrophomonas maltophilia,40324
233,7,_water_ & Miscellaneous,Vibrio anguillarum,55601
234,7,_water_ & Miscellaneous,Synechococcus sp. CC9605,110662
235,7,_water_ & Miscellaneous,Shigella flexneri,623
236,7,_water_ & Miscellaneous,Synechococcus sp. WH 7803,32051
237,7,_water_ & Miscellaneous,Curtobacterium sp.,1869344
238,7,_water_ & Miscellaneous,Clostridium perfringens,1502
239,7,_water_ & Miscellaneous,Bacillus cereus,1396
240,7,_water_ & Miscellaneous,Salmonella enterica,28901
241,7,_water_ & Miscellaneous,Hafnia paralvei,546367
242,7,_water_ & Miscellaneous,Enterococcus faecalis,1351
243,7,_water_ & Miscellaneous,Escherichia coli,562
244,7,_water_ & Miscellaneous,Aeromonas hydrophila,644
245,7,_water_ & Miscellaneous,Enterococcus sp.,35783
246,7,_water_ & Miscellaneous,Pectobacterium atrosepticum,29471
247,7,_water_ & Miscellaneous,Rhodobacter capsulatus,1061
248,7,_water_ & Miscellaneous,Leptolyngbya boryana,1184
249,7,_water_ & Miscellaneous,Cylindrospermopsis raciborskii,77022
250,7,_water_ & Miscellaneous,Xanthomonas sp.,29446
251,7,_water_ & Miscellaneous,Enterobacter hormaechei,158836
252,8,_water_ & Patient + some strain,Pseudomonas aeruginosa,287
253,8,_water_ & Patient + some strain,Mycolicibacterium smegmatis,1772
254,8,_water_ & Patient + some strain,Escherichia coli,562
255,9,Seawater & Sewage,Pseudomonas aeruginosa,287
256,9,Seawater & Sewage,Vibrio sp.,678
257,9,Seawater & Sewage,Achromobacter xylosoxidans,85698
258,9,Seawater & Sewage,Klebsiella pneumoniae,573
259,9,Seawater & Sewage,Salmonella enterica,28901
260,9,Seawater & Sewage,Vibrio parahaemolyticus,670
261,9,Seawater & Sewage,Enterococcus faecalis,1351
262,9,Seawater & Sewage,Aeromonas salmonicida,645
263,9,Seawater & Sewage,Pseudomonas sp.,306
264,9,Seawater & Sewage,Vibrio alginolyticus,663
265,10,Seawater & Miscellaneous,Vibrio sp.,678
266,10,Seawater & Miscellaneous,Parasynechococcus marenigrum,2881428
267,10,Seawater & Miscellaneous,Prochlorococcus marinus,1219
268,10,Seawater & Miscellaneous,Aeromonas salmonicida,645
269,10,Seawater & Miscellaneous,Cellulophaga sp. MM#3,192170
270,10,Seawater & Miscellaneous,Pseudomonas sp.,306
271,10,Seawater & Miscellaneous,Vibrio alginolyticus,663
272,10,Seawater & Miscellaneous,Vibrio natriegens,691
273,10,Seawater & Miscellaneous,Synechococcus sp. WH 8109,166314
274,10,Seawater & Miscellaneous,Pseudoalteromonas sp.,53249
275,10,Seawater & Miscellaneous,Vibrio crassostreae,246167
276,10,Seawater & Miscellaneous,Vibrio campbellii,680
277,10,Seawater & Miscellaneous,Klebsiella pneumoniae,573
278,10,Seawater & Miscellaneous,Candidatus Pelagibacter ubique,198252
279,10,Seawater & Miscellaneous,Stutzerimonas stutzeri,316
280,10,Seawater & Miscellaneous,Synechococcus sp.,1131
281,10,Seawater & Miscellaneous,Vibrio parahaemolyticus,670
282,10,Seawater & Miscellaneous,Synechococcus sp. WH 8101,59932
283,10,Seawater & Miscellaneous,Pseudomonas aeruginosa,287
284,10,Seawater & Miscellaneous,Synechococcus sp. CC9605,110662
285,10,Seawater & Miscellaneous,Synechococcus sp. WH 7803,32051
286,10,Seawater & Miscellaneous,Aliivibrio fischeri,668
287,10,Seawater & Miscellaneous,Salmonella enterica,28901
288,10,Seawater & Miscellaneous,Enterococcus faecalis,1351
289,10,Seawater & Miscellaneous,Cellulophaga baltica,76594
290,10,Seawater & Miscellaneous,Vibrio splendidus,29497
291,11,Seawater & Patient + some strain,Pseudomonas aeruginosa,287
292,12,Sewage & Miscellaneous,Vibrio sp.,678
293,12,Sewage & Miscellaneous,Pseudomonas syringae,317
294,12,Sewage & Miscellaneous,Serratia sp. (in: enterobacteria),616
295,12,Sewage & Miscellaneous,Klebsiella quasipneumoniae,1463165
296,12,Sewage & Miscellaneous,Pseudomonas fluorescens,294
297,12,Sewage & Miscellaneous,Aeromonas salmonicida,645
298,12,Sewage & Miscellaneous,Bacillus subtilis,1423
299,12,Sewage & Miscellaneous,Escherichia fergusonii,564
300,12,Sewage & Miscellaneous,Gordonia rubripertincta,36822
301,12,Sewage & Miscellaneous,Citrobacter braakii,57706
302,12,Sewage & Miscellaneous,Pectobacterium brasiliense,180957
303,12,Sewage & Miscellaneous,Pseudomonas sp.,306
304,12,Sewage & Miscellaneous,Salmonella sp.,599
305,12,Sewage & Miscellaneous,Klebsiella oxytoca,571
306,12,Sewage & Miscellaneous,Klebsiella sp.,576
307,12,Sewage & Miscellaneous,Vibrio alginolyticus,663
308,12,Sewage & Miscellaneous,Listeria monocytogenes,1639
309,12,Sewage & Miscellaneous,Pseudomonas syringae group genomosp. 3,251701
310,12,Sewage & Miscellaneous,Pectobacterium carotovorum,554
311,12,Sewage & Miscellaneous,Vibrio harveyi,669
312,12,Sewage & Miscellaneous,Vibrio cholerae,666
313,12,Sewage & Miscellaneous,Pseudomonas putida,303
314,12,Sewage & Miscellaneous,Staphylococcus pseudintermedius,283734
315,12,Sewage & Miscellaneous,Enterococcus faecium,1352
316,12,Sewage & Miscellaneous,Yersinia enterocolitica,630
317,12,Sewage & Miscellaneous,Bacteroides uniformis,820
318,12,Sewage & Miscellaneous,Bacteroides intestinalis,329854
319,12,Sewage & Miscellaneous,Bacteroides thetaiotaomicron,818
320,12,Sewage & Miscellaneous,Parabacteroides merdae,46503
321,12,Sewage & Miscellaneous,Streptococcus agalactiae,1311
322,12,Sewage & Miscellaneous,Pantoea deleyi,470932
323,12,Sewage & Miscellaneous,Escherichia sp.,1884818
324,12,Sewage & Miscellaneous,Clostridioides difficile,1496
325,12,Sewage & Miscellaneous,Cutibacterium acnes,1747
326,12,Sewage & Miscellaneous,Campylobacter jejuni,197
327,12,Sewage & Miscellaneous,Streptococcus equinus,1335
328,12,Sewage & Miscellaneous,Staphylococcus aureus,1280
329,12,Sewage & Miscellaneous,Parabacteroides distasonis,823
330,12,Sewage & Miscellaneous,Mycolicibacterium smegmatis,1772
331,12,Sewage & Miscellaneous,Klebsiella pneumoniae,573
332,12,Sewage & Miscellaneous,Vibrio parahaemolyticus,670
333,12,Sewage & Miscellaneous,Klebsiella variicola,244366
334,12,Sewage & Miscellaneous,Acinetobacter baumannii,470
335,12,Sewage & Miscellaneous,Staphylococcus sp.,29387
336,12,Sewage & Miscellaneous,Bacillus anthracis,1392
337,12,Sewage & Miscellaneous,Brochothrix thermosphacta,2756
338,12,Sewage & Miscellaneous,Enterobacter cloacae,550
339,12,Sewage & Miscellaneous,Cronobacter sakazakii,28141
340,12,Sewage & Miscellaneous,Bacillus sp. (in: firmicutes),1409
341,12,Sewage & Miscellaneous,Pseudomonas aeruginosa,287
342,12,Sewage & Miscellaneous,Stenotrophomonas maltophilia,40324
343,12,Sewage & Miscellaneous,Shigella flexneri,623
344,12,Sewage & Miscellaneous,Proteus mirabilis,584
345,12,Sewage & Miscellaneous,Bacillus cereus,1396
346,12,Sewage & Miscellaneous,Clostridium perfringens,1502
347,12,Sewage & Miscellaneous,Bacillus thuringiensis,1428
348,12,Sewage & Miscellaneous,Salmonella enterica,28901
349,12,Sewage & Miscellaneous,Nocardia transvalensis,37333
350,12,Sewage & Miscellaneous,Enterococcus faecalis,1351
351,12,Sewage & Miscellaneous,Pasteurella multocida,747
352,12,Sewage & Miscellaneous,Klebsiella aerogenes,548
353,12,Sewage & Miscellaneous,Aeromonas hydrophila,644
354,12,Sewage & Miscellaneous,Enterococcus sp.,35783
355,12,Sewage & Miscellaneous,Staphylococcus epidermidis,1282
356,12,Sewage & Miscellaneous,Escherichia coli,562
357,12,Sewage & Miscellaneous,Rhodobacter capsulatus,1061
358,12,Sewage & Miscellaneous,Pectobacterium atrosepticum,29471
359,12,Sewage & Miscellaneous,Xanthomonas sp.,29446
360,12,Sewage & Miscellaneous,Xanthomonas albilineans,29447
361,12,Sewage & Miscellaneous,Streptococcus pyogenes,1314
362,12,Sewage & Miscellaneous,Enterobacter hormaechei,158836
363,13,Sewage & Patient + some strain,Pseudomonas aeruginosa,287
364,13,Sewage & Patient + some strain,Mycolicibacterium smegmatis,1772
365,13,Sewage & Patient + some strain,Escherichia coli,562
366,14,Miscellaneous & Patient + some strain,Pseudomonas aeruginosa,287
367,14,Miscellaneous & Patient + some strain,Mycolicibacterium smegmatis,1772
368,14,Miscellaneous & Patient + some strain,Escherichia coli,562
369,14,Miscellaneous & Patient + some strain,Mycobacterium tuberculosis,1773
